Shell_Label,Shell_Part,Shell_N1,Shell_N2,Shell_N3,Shell_N4
9571665,5,37741129,37741201,37741202,37741130
9571666,5,37741130,37741202,37741203,37741131
9571667,5,37741131,37741203,37741183,37741111
9571720,5,37741183,37741255,37741256,37741184
9571723,5,37741187,37741259,37741260,37741188
9571724,5,37741188,37741260,37741261,37741189
9571725,5,37741189,37741261,37741262,37741190
9571726,5,37741190,37741262,37741263,37741191
9571727,5,37741191,37741263,37741264,37741192
9571728,5,37741192,37741264,37741265,37741193
9571729,5,37741193,37741265,37741266,37741194
9571730,5,37741194,37741266,37741267,37741195
9571731,5,37741195,37741267,37741268,37741196
9571732,5,37741196,37741268,37741269,37741197
9571733,5,37741197,37741269,37741270,37741198
9571734,5,37741198,37741270,37741271,37741199
9571735,5,37741199,37741271,37741272,37741200
9571736,5,37741200,37741272,37741273,37741201
9571737,5,37741201,37741273,37741274,37741202
9571738,5,37741202,37741274,37741275,37741203
9571739,5,37741203,37741275,37741255,37741183
9571792,5,37741255,37741327,37741328,37741256
9571795,5,37741259,37741331,37741332,37741260
9571796,5,37741260,37741332,37741333,37741261
9571797,5,37741261,37741333,37741334,37741262
9571798,5,37741262,37741334,37741335,37741263
9571799,5,37741263,37741335,37741336,37741264
9571800,5,37741264,37741336,37741337,37741265
9571801,5,37741265,37741337,37741338,37741266
9571802,5,37741266,37741338,37741339,37741267
9571803,5,37741267,37741339,37741340,37741268
9571804,5,37741268,37741340,37741341,37741269
9571805,5,37741269,37741341,37741342,37741270
9571806,5,37741270,37741342,37741343,37741271
9571807,5,37741271,37741343,37741344,37741272
9571808,5,37741272,37741344,37741345,37741273
9571809,5,37741273,37741345,37741346,37741274
9571810,5,37741274,37741346,37741347,37741275
9571811,5,37741275,37741347,37741327,37741255
9571864,5,37741327,37741399,37741400,37741328
9571867,5,37741331,37741403,37741404,37741332
9571868,5,37741332,37741404,37741405,37741333
9571869,5,37741333,37741405,37741406,37741334
9571870,5,37741334,37741406,37741407,37741335
9571871,5,37741335,37741407,37741408,37741336
9571872,5,37741336,37741408,37741409,37741337
9571873,5,37741337,37741409,37741410,37741338
9571874,5,37741338,37741410,37741411,37741339
9571875,5,37741339,37741411,37741412,37741340
9571876,5,37741340,37741412,37741413,37741341
9571877,5,37741341,37741413,37741414,37741342
9571878,5,37741342,37741414,37741415,37741343
9571879,5,37741343,37741415,37741416,37741344
9571880,5,37741344,37741416,37741417,37741345
9571881,5,37741345,37741417,37741418,37741346
9571882,5,37741346,37741418,37741419,37741347
9571883,5,37741347,37741419,37741399,37741327
9571936,5,37741399,37741471,37741472,37741400
9571939,5,37741403,37741475,37741476,37741404
9571940,5,37741404,37741476,37741477,37741405
9571941,5,37741405,37741477,37741478,37741406
9571942,5,37741406,37741478,37741479,37741407
9571943,5,37741407,37741479,37741480,37741408
9571944,5,37741408,37741480,37741481,37741409
9571945,5,37741409,37741481,37741482,37741410
9571946,5,37741410,37741482,37741483,37741411
9571947,5,37741411,37741483,37741484,37741412
9571948,5,37741412,37741484,37741485,37741413
9571949,5,37741413,37741485,37741486,37741414
9571950,5,37741414,37741486,37741487,37741415
9571951,5,37741415,37741487,37741488,37741416
9571952,5,37741416,37741488,37741489,37741417
9571953,5,37741417,37741489,37741490,37741418
9571954,5,37741418,37741490,37741491,37741419
9571955,5,37741419,37741491,37741471,37741399
9572008,5,37741471,37741543,37741544,37741472
9572011,5,37741475,37741547,37741548,37741476
9572012,5,37741476,37741548,37741549,37741477
9572013,5,37741477,37741549,37741550,37741478
9572014,5,37741478,37741550,37741551,37741479
9572015,5,37741479,37741551,37741552,37741480
9572016,5,37741480,37741552,37741553,37741481
9572017,5,37741481,37741553,37741554,37741482
9572018,5,37741482,37741554,37741555,37741483
9572019,5,37741483,37741555,37741556,37741484
9572020,5,37741484,37741556,37741557,37741485
9572021,5,37741485,37741557,37741558,37741486
9572022,5,37741486,37741558,37741559,37741487
9572023,5,37741487,37741559,37741560,37741488
9572024,5,37741488,37741560,37741561,37741489
9572025,5,37741489,37741561,37741562,37741490
9572026,5,37741490,37741562,37741563,37741491
9572027,5,37741491,37741563,37741543,37741471
9572080,5,37741543,37741615,37741616,37741544
9572083,5,37741547,37741619,37741620,37741548
9572084,5,37741548,37741620,37741621,37741549
9572085,5,37741549,37741621,37741622,37741550
9572086,5,37741550,37741622,37741623,37741551
9572087,5,37741551,37741623,37741624,37741552
9572088,5,37741552,37741624,37741625,37741553
9572089,5,37741553,37741625,37741626,37741554
9572090,5,37741554,37741626,37741627,37741555
9572091,5,37741555,37741627,37741628,37741556
9572092,5,37741556,37741628,37741629,37741557
9572093,5,37741557,37741629,37741630,37741558
9572094,5,37741558,37741630,37741631,37741559
9572095,5,37741559,37741631,37741632,37741560
9572096,5,37741560,37741632,37741633,37741561
9572097,5,37741561,37741633,37741634,37741562
